,text,category
0,overwegingen,5
0,appellant mei aanvraag ingediend subsidie grond subsidieregeling energiebesparing eigen huis seeh minister binnenlandse zaken koninkrijkrelaties bzk aanvraag appellant vloer gevelisolatie energiedisplay waterzijdig inregelen verwarmingssysteem energiebesparende maatregelen opgegeven appellant bijlage aanvraagformulier foto s warmtepomp thermostaat slimme thermostaatknoppen vloer muurisolatie energielabel warmtepomp gevoegd daarnaast appellant bijlage kostenraming gehele verbouwing factuur warmtepomp productkenmerken warmtepomp toegevoegd augustus augustus medewerker rijksdienst ondernemend nederland rvo nadere informatie gevraagd augustus augustus appellant benodigde informatie verschaft gemeld vooral ging subsidie warmtepomp e mail september betreffende medewerker rvo appellant medegedeeld onder seeh subsidie aangevraagd warmtepomp appellant overige energiebesparende maatregelen aanmerking komt subsidie alle vereisten seeh wordt voldaan appellant erop gewezen warmtepomp gebruik maken isde grond titel,1
0,regeling minister bzk besluit september appellant meegedeeld aanmerking komt seeh subsidie,1
0,navolging e mailbericht september rvo appellant september isde aanvraag ingediend verweerder datum ingebruikname warmtepomp appellant februari ingevuld,1
0,primaire besluit gehandhaafd bestreden besluit verweerder aanvraag september toepassing artikel eerste lid aanhef onder f regeling afgewezen binnen zes maanden installeren warmtepomp weten uiterlijk augustus ingediend,1
0,appellant voert samengevat beroep aangerekend aanvraag isde laat ingediend aanvraag pas september ingediend ervan uitging grond mei ingediende aanvraag seeh aanspraak maken subsidie warmtepomp appellant gesterkt vertrouwen doordat indiening aanvraag seeh telefonisch bevestiging verweerder kreeg aanvraagformulier goed ingevuld aanvraag subsidie warmtepomp volgens appellant website verweerder duidelijk onderscheid gemaakt tussen seeh isde pas e mailbericht september appellant duidelijk verkeerde subsidieaanvraag ingediend appellant rekent minister bzk aanvraag seeh opgevat aanvraag kader isde volgens appellant aanvraag intern moeten doorgestuurd juiste afdeling verder voert appellant adequate handelswijze zoveel vertraging opgelopen staat achteraf gebleken onjuiste aanvraag herstellen appellant voelt benadeeld trage handelswijze verweerder vindt bovendien onrechtvaardig wordt afgerekend late indiening aanvraag terwijl verweerder wordt aangerekend laat beslist aanvraag,1
0,verweerder stelt standpunt isde aanvraag terecht afgewezen seeh isde verschillende regelingen seeh ziet name subsidies isolatiemaatregelen particuliere woningen terwijl isde ziet aanbrengen technische installaties regelingen eigen beoordelingskader uitvoerende bestuursorgaan verschilt verweerder verantwoordelijk isde minister bzk verantwoordelijk seeh verantwoordelijkheid aanvrager verdiepen vereisten voorwaarden horen regeling waarvoor subsidie aanvragen aanvraag mei blijkt appellant subsidie aangevraagd vloer gevelisolatie aantal aanvullende energiebesparende maatregelen verweerder appellant ingevulde ingediende aanvraagformulier uitgangspunt gehanteerd beoordeling aanvraag verweerder stelt gezien vragen aanvraagformulier gesteld wijze waarop seeh formulier ingevuld duidelijk appellant subsidieaanvraag deed warmtepomp medewerkers minister bzk hoefden wijze waarop seeh formulier ingevuld bijlages appellant toegevoegd vragen roepen pas reactie augustus gevraagde nadere informatie seeh aanvraag maakte appellant expliciet kenbaar subsidie wilde aanvragen warmtepomp medewerkers minister bzk konden eerder augustus bedacht appellant ging warmtepomp energiebesparende maatregelen moment termijn zes maanden installatie isde verstreken isde aanvraag geldt grond artikel eerste lid aanhef onder f regeling dwingend voorgeschreven laat ingediende aanvraag subsidie afgewezen regeling bevat hardheidsclausule biedt verweerder ruimte belangenafweging bedoeld artikel eerste lid algemene wet bestuursrecht awb verweerder daarom gehouden aanvraag appellant wijzen,1
0,aritkel eerste lid awb luidt volgt bestuursorgaan zendt geschriften behandeling waarvan kennelijk ander bestuursorgaan bevoegd onverwijld orgaan onder gelijktijdige mededeling daarvan afzender,8
0,anders verweerder acht college aannemelijk appellant kennelijk bedoeling gehad subsidie warmtepomp vragen bijlagen appellant seeh aanvraag meegestuurd zien vrijwel allemaal warmtepomp aanvraag hadden beoordelaars seeh aanvragen afleiden appellant alleen vloer gevelisolatie aantal aanvullende energiebesparende maatregelen subsidie wilde aanvragen warmtepomp lag daarom weg beoordelaars seeh aanvragen alleen beoordeling grond seeh eventueel stellen nadere vragen appellant aanvraag grond artikel eerste lid awb onmiddellijk sturen beoordelaars isde aanvragen seeh isde verschillende bestuursorganen opgedragen zoals verweerder voren brengt maakt voorgaande gelet bepaalde artikel eerste lid awb anders komt beide regelingen feitelijk uitgevoerd rvo college stelt vast aanvraag doorgezonden pas augustus termijn isde grond artikel eerste lid aanhef onder f regeling verstreken beoordelaar seeh aanvraag nadere vragen appellant gesteld aanvraag appellant vragen direct beantwoord onder omstandigheden appellant tegengeworpen isde aanvraag laat verweerder ingediend verweerder isde aanvraag opnieuw behandeling nemen uitgaande datum indiening seeh aanvraag,1
0,beroep gegrond college vernietigt bestreden besluit college ziet aanleiding zaak voorzien verweerder aanvraag beslissen hoogte subsidie vast stellen verweerder daarom nieuw besluit moeten nemen inachtneming uitspraak college stelt hiervoor termijn zes weken,0
0,veroordeling proceskosten aanleiding gebleken vergoeden proceskosten,9
1,overwegingen feiten omstandigheden,5
1,college gaat volgende feiten omstandigheden medio maart nederland mond klauwzeer hierna mkz uitgebroken maart eveneens plaats gelegen bedrijf naam besmet verklaard mkz bedrijf appellant gelegen afstand,0
1,meter bedrijf naam primaire besluit maart alle evenhoevige dieren bedrijf appellant ingang dezelfde datum verdacht verklaard besmetting mkz besluit appellant onder medegedeeld dieren moeten gevaccineerd zullen gedood april dieren appellant getaxeerd vervolgens april gedood per brief juni verdachtverklaring geëindigd,1
1,appellant april bezwaar gemaakt primaire besluit bestreden besluit i verweerder bezwaar ongegrond verklaard uitspraak januari ecli nl cbb bh college beroep appellant bestreden besluit i gegrond verklaard besluit vernietigd verweerder opgedragen inachtneming uitspraak opnieuw bezwaren appellant beslissen college uitspraak tevens identieke beslissingen genomen beroepen aantal veehouders ten aanzien waarvan verweerder vergelijkbare besluiten bezwaar genomen uitspraak verweerder nieuwe besluiten genomen bezwaren veehouders verzuimd nieuw besluit nemen bezwaren appellant primaire besluit nadat appellant verweerder januari gebreke gesteld verweerder februari bestreden besluit ii genomen,1
1,verweerder stelt bestreden besluit ii voorop appellant feitelijk dezelfde positie verkeerde vijf veehouders wier beroepen college beslist uitspraak januari ecli nl cbb bezwaar appellant aangevoerde gronden ingenomen standpunten volgens verweerder hetzelfde veehouders daarom neemt verweerder bestreden besluit ii oordeel college genoemde uitspraak legt oordeel ten grondslag heroverweging primaire besluit verweerder hiertoe genoemde uitspraak opgenomen samenvatting uitspraak bestreden besluit ii geciteerd daarnaast verwezen relevante inhoudelijke overwegingen hoofdstukken uitspraak standpunten partijen,1
1,beroepschrift stelt appellant juistheid betwist uitslag enige besmet bevonden heparinemonster inzending,1
1,hierna heparinemonster afkomstig kalf bedrijf naam bestrijdt monster afkomstig kalf naam hiertoe voert appellant vaststaat heparinemonster dna bevatte verwantschap tussen monster kalf naam uitsluitend aangenomen basis analyse daarin aanwezige eiwitten terwijl nederlands forensisch instituut nfi gewraakte methode eiwitmethode appellant beroept hiervoor rapport schriftelijke reactie verwantschapsonderzoek koeien dr i kuiper nfi juni nfi rapport volgens appellant blijkt dna monster verloren gegaan gevolg filtratie waarbij eventueel aanwezige celmateriaal monster verwijderd zoals aangegeven opdracht rechtbank zwolle dr w a haeringen dr haeringen laboratorium b v wageningen uitgebrachte deskundigenrapportage augustus haeringen rapport voorts aldus appellant verband belang betreffende kalf naam klinische verschijnselen overige monsters kalf positief mkz getest kalveren bedrijf naam dezelfde ruimte stonden besmet mkz kader uitspraken college gedaan procedures geleid uitspraak januari volgens appellant betekenis onderhavige beroep althans zin hierin knopen doorgehakt waaraan college beoordeling onderhavige beroep gebonden appellant verwijst hierbij uitspraken juni ecli nl cbb februari ecli nl cbb april ecli nl cbb bi gevolg hiervan name college uitspraak juni geformuleerde bewijsstappen relevant bewijsstappen bekend nfi rapport uitgebracht gelet conclusie nfi rapport eiwitmethode college daarmee verweerder ten onrechte vanuit gegaan heparinemonster afkomstig kalf naam nfi rapport werpt totaal ander licht genoemde bewijsstappen name stap,0
1,stap gaat ten onrechte premisse verwantschap bestaat tussen monster kalf naam beperkt ten onrechte juistheid analyseresultaat voorafgaand kader bewijsstap verweerder verwantschap aantonen tussen monster kalf naam daarin minister geslaagd consequenties ontbreken dna genoemd monster verwijst appellant nfi rapport toelichting auteur rapport dr i kuiper getuige deskundige daarop college ter zitting juni gegeven,1
1,voert appellant beroepsprocedure alleen bestreden besluit ii getoetst vernietigd moeten primaire besluit juridisch dogmatisch aldus appellant procedure bestuursrechter uitgegaan juistheid primair besluit besluit geacht formele rechtskracht daarom onderwerp bestuurlijke heroverweging grondslag daartegen gemaakte bezwaar onverenigbaar artikel algemene wet bestuursrecht awb los hiervan volgens appellant beroepsprocedure uitgegaan rechtmatigheid primaire besluit uitspraak college januari ecli nl cbb bh geconstateerde onrechtmatigheid bestreden besluit i onrechtmatigheid primaire besluit impliceert hiermee onverenigbaar moeten uitgegaan rechtmatigheid primaire besluit,1
1,nfi rapport volgens appellant leiden conclusie directeur rvv primaire besluit besmetverklaring doden dieren bedrijf naam verlengde daarvan verdachtverklaring maatregelen vaccinatie doding evenhoevige dieren alle bedrijven straal twee kilometer rondom bedrijf naam waaronder appellant c q mogen komen primaire besluit evenals bestreden besluit ii vernietigd appellant wijst hierbij behalve hetgeen hiervoor,1
1,genoemd volgende directeur rvv bekende kenbare feiten zowel ieder onderling verband bezien grond opleveren ernstige twijfels betrouwbaarheid bewust heparinemonster slechts één dier hele bedrijf naam positieve uitslag mkz stonden drie negatieve uitslagen monsters hetzelfde dier afkomstig tegenover terwijl tweede positief mkz getest monster kop hetzelfde kalf dateerde primaire besluit geanalyseerd middel ondeugdelijke pcr test maart rvv monsters genomen dieren gehuisvest dezelfde ruimte waarin bewuste kalf naam stond monsters voorafgaand besmetverklaring ruiming bedrijf naam voorhanden onderzocht alvorens besluitvorming overgegaan nadien bleek monsters negatief mkz getest procedureafwijkingen overige tekortkomingen onderzoekslaboratorium id lelystad b v id lelystad zoals college kader uitspraak januari geraadpleegde deskundigen rapport addenda geconstateerd verweerder ingebrachte vierde bloedtaplijst barcode enkele manier traceerbaar herleidbaar onderzoek bedrijf naam genomen monsters bovendien onbesproken gebleven achterwege laten verweerder contra expertise wegens beweerdelijke afwezigheid voldoende bloed terwijl haeringen rapport blijkt weldegelijk voldoende bloed aanwezig steeds,2
1,appellant stelt beroepschrift zowel primaire bestreden besluit volgende redenen stand blijven volgens appellant voerde verweerder tijdens mkz crisis ingeval verdenking stamping out beleid enten doden alle evenhoevige dieren aanwezig bedrijven gelegen binnen straal twee kilometer rondom besmet bevonden bedrijf ongeacht bedrijven besmet enkele aanwezigheid binnen straal twee kilometer besmet bevonden bedrijf voldoende bedrijven verdacht merken ruimen beleid ging aldus appellant verder noodzakelijk gelet evenredigheidsbeginsel zoals neergelegd artikel awb verweerder meteen mogen overgaan doden alle dieren binnen genoemde straal verweerder nader onderzoek moeten onderzoek binnen korte termijn uitgevoerd waarna bevestigende positieve uitslag uitslagen alsnog direct doding dieren overgegaan verweerder minder ingrijpende maatregelen gebruik moeten maken zoals bijvoorbeeld enten dieren markervaccin plaats noodvaccin appellant wijst verband uitspraak hof justitie juni nr c ecli eu c waaruit blijkt verweerder rekening houdend noodzaak mkz snel doeltreffend bestrijden beginsel richtlijn eeg raad november vaststelling gemeenschappelijke maatregelen ter bestrijding mond klauwzeer bedoelde maatregelen alle passende maatregelen vaststellen volgens appellant blijkt gebruik woorden beginsel sprake absolute verplichting situatie ruimte maatregelen namelijk wanneer zoals geval aanwijzingen waarover bevoegde lidstaat beschikt grond opleveren ernstige twijfels betrouwbaarheid uitslagen laboratoria volgens appellant geval voldoende reden ernstige twijfels betrouwbaarheid uitslagen laboratoria gevolg waarvan moeten afgezien stamping out beleid,1
1,appellant verzoekt tenslotte schadevergoeding toe kennen vanwege overschrijding redelijke termijn bedoeld artikel verdrag bescherming rechten mens fundamentele vrijheden evrm,8
1,aanvullend appellant ter zitting betrouwbaarheid positieve testuitslag heparinemonster betwist volgens appellant testte monster maart weliswaar positief hetzelfde monster april vóór inwerkingtreding primaire besluit april negatief getest id lelystad ten onrechte nagelaten onderzoek verschil tussen beide testuitslagen hetzelfde monster negatieve testuitslag directeur rvv reden moeten beperken verdachtverklaring dieren plaats ruiming zien afwachting uitslag nader onderzoek voorts appellant aangevoerd positieve testuitslag monster kop kalf naam gebaseerd ondeugdelijke pcr test uitslag rol gespeeld uitspraak college januari hierbij wijst appellante antwoord college kader uitspraak geraadpleegde deskundigen college hen gestelde vraag,1
1,,8
